name,multiverse_id,layout,names,mana_cost,cmc,colors,color_identity,type,supertypes,subtypes,rarity,text,flavor,artist,number,power,toughness,loyalty,variations
War Mammoth,780,normal,,{3}{G},4,['G'],['G'],Creature — Elephant,,['Elephant'],Common,Trample,I didn't think Mammoths could ever hold a candle to a well-trained battle horse. Then one day I turned my back on a drunken soldier. His blow never landed, Mi'cha flung the brute over ten meters.,Jeff A. Menges,228,3,3,
Web,781,normal,,{G},1,['G'],['G'],Enchantment — Aura,,['Aura'],Rare,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature gets +0/+2 and has reach. (It can block creatures with flying.)",,Rob Alexander,229,,,,
Wild Growth,782,normal,,{G},1,['G'],['G'],Enchantment — Aura,,['Aura'],Common,"Enchant land
Whenever enchanted land is tapped for mana, its controller adds an additional {G}.",,Mark Poole,230,,,,
Ankh of Mishra,598,normal,,{2},2,,,Artifact,,,Rare,"Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.",,Amy Weber,231,,,,
Basalt Monolith,599,normal,,{3},3,,,Artifact,,,Uncommon,"Basalt Monolith doesn't untap during your untap step.
{T}: Add {C}{C}{C}.
{3}: Untap Basalt Monolith.",,Jesper Myrfors,232,,,,
Black Lotus,600,normal,,{0},0,,,Artifact,,,Rare,"{T}, Sacrifice Black Lotus: Add three mana of any one color.",,Christopher Rush,233,,,,
Black Vise,601,normal,,{1},1,,,Artifact,,,Uncommon,"As Black Vise enters the battlefield, choose an opponent.
At the beginning of the chosen player's upkeep, Black Vise deals X damage to that player, where X is the number of cards in their hand minus 4.",,Richard Thomas,234,,,,
Celestial Prism,602,normal,,{3},3,,,Artifact,,,Uncommon,"{2}, {T}: Add one mana of any color.",,Amy Weber,235,,,,
Chaos Orb,603,normal,,{2},2,,,Artifact,,,Rare,"{1}, {T}: If Chaos Orb is on the battlefield, flip Chaos Orb onto the battlefield from a height of at least one foot. If Chaos Orb turns over completely at least once during the flip, destroy all nontoken permanents it touches. Then destroy Chaos Orb.",,Mark Tedin,236,,,,
Clockwork Beast,604,normal,,{6},6,,,Artifact Creature — Beast,,['Beast'],Rare,"Clockwork Beast enters the battlefield with seven +1/+0 counters on it.
At end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.
{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate only during your upkeep.",,Drew Tucker,237,0,4,,
Conservator,605,normal,,{4},4,,,Artifact,,,Uncommon,"{3}, {T}: Prevent the next 2 damage that would be dealt to you this turn.",,Amy Weber,238,,,,
Copper Tablet,606,normal,,{2},2,,,Artifact,,,Uncommon,"At the beginning of each player's upkeep, Copper Tablet deals 1 damage to that player.",,Amy Weber,239,,,,
Crystal Rod,607,normal,,{1},1,,,Artifact,,,Uncommon,"Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.",,Amy Weber,240,,,,
Cyclopean Tomb,608,normal,,{4},4,,,Artifact,,,Rare,"{2}, {T}: Put a mire counter on target non-Swamp land. That land is a Swamp for as long as it has a mire counter on it. Activate only during your upkeep.
When Cyclopean Tomb is put into a graveyard from the battlefield, at the beginning of each of your upkeeps for the rest of the game, remove all mire counters from a land that a mire counter was put onto with Cyclopean Tomb but that a mire counter has not been removed from with Cyclopean Tomb.",,Anson Maddocks,241,,,,
Dingus Egg,609,normal,,{4},4,,,Artifact,,,Rare,"Whenever a land is put into a graveyard from the battlefield, Dingus Egg deals 2 damage to that land's controller.",,Dan Frazier,242,,,,
Disrupting Scepter,610,normal,,{3},3,,,Artifact,,,Rare,"{3}, {T}: Target player discards a card. Activate only during your turn.",,Dan Frazier,243,,,,
Forcefield,611,normal,,{3},3,,,Artifact,,,Rare,"{1}: The next time an unblocked creature of your choice would deal combat damage to you this turn, prevent all but 1 of that damage.",,Dan Frazier,244,,,,
Gauntlet of Might,612,normal,,{4},4,,['R'],Artifact,,,Rare,"Red creatures get +1/+1.
Whenever a Mountain is tapped for mana, its controller adds an additional {R}.",,Christopher Rush,245,,,,
Glasses of Urza,613,normal,,{1},1,,,Artifact,,,Uncommon,{T}: Look at target player's hand.,,Douglas Shuler,246,,,,
Helm of Chatzuk,614,normal,,{1},1,,,Artifact,,,Rare,"{1}, {T}: Target creature gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",,Mark Tedin,247,,,,
Howling Mine,615,normal,,{2},2,,,Artifact,,,Rare,"At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card.",,Mark Poole,248,,,,
Icy Manipulator,616,normal,,{4},4,,,Artifact,,,Uncommon,"{1}, {T}: Tap target artifact, creature, or land.",,Douglas Shuler,249,,,,
Illusionary Mask,617,normal,,{2},2,,,Artifact,,,Rare,"{X}: You may choose a creature card in your hand whose mana cost could be paid by some amount of, or all of, the mana you spent on {X}. If you do, you may cast that card face down as a 2/2 creature spell without paying its mana cost. If the creature that spell becomes as it resolves has not been turned face up and would assign or deal damage, be dealt damage, or become tapped, instead it's turned face up and assigns or deals damage, is dealt damage, or becomes tapped. Activate only as a sorcery.",,Amy Weber,250,,,,
Iron Star,618,normal,,{1},1,,,Artifact,,,Uncommon,"Whenever a player casts a red spell, you may pay {1}. If you do, you gain 1 life.",,Dan Frazier,251,,,,
Ivory Cup,619,normal,,{1},1,,,Artifact,,,Uncommon,"Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.",,Anson Maddocks,252,,,,
Jade Monolith,620,normal,,{4},4,,,Artifact,,,Rare,"{1}: The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead.",,Anson Maddocks,253,,,,
Jade Statue,621,normal,,{4},4,,,Artifact,,,Uncommon,{2}: Jade Statue becomes a 3/6 Golem artifact creature until end of combat. Activate only during combat.,"""Some of the other guys dared me to touch it, but I knew it weren't no ordinary hunk o' rock.""
—Norin the Wary",Dan Frazier,254,,,,
Jayemdae Tome,622,normal,,{4},4,,,Artifact,,,Rare,"{4}, {T}: Draw a card.",,Mark Tedin,255,,,,
Juggernaut,623,normal,,{4},4,,,Artifact Creature — Juggernaut,,['Juggernaut'],Uncommon,"Juggernaut attacks each combat if able.
Juggernaut can't be blocked by Walls.","We had taken refuge in a small cave, thinking the entrance was too narrow for it to follow. To our horror, its gigantic head smashed into the mountainside, ripping itself a new entrance.",Dan Frazier,256,5,3,,
Kormus Bell,624,normal,,{4},4,,,Artifact,,,Rare,All Swamps are 1/1 black creatures that are still lands.,,Christopher Rush,257,,,,
Library of Leng,625,normal,,{1},1,,,Artifact,,,Uncommon,"You have no maximum hand size.
If an effect causes you to discard a card, discard it, but you may put it on top of your library instead of into your graveyard.",,Daniel Gelon,258,,,,
Living Wall,626,normal,,{4},4,,,Artifact Creature — Wall,,['Wall'],Uncommon,"Defender (This creature can't attack.)
{1}: Regenerate Living Wall.","Some fiendish mage had created a horrifying wall of living flesh, patched together from a jumble of still-recognizable body parts. As we sought to hew our way through it, some unknown power healed the gaping wounds we cut, denying us passage.",Anson Maddocks,259,0,6,,
Mana Vault,627,normal,,{1},1,,,Artifact,,,Rare,"Mana Vault doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.
At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.
{T}: Add {C}{C}{C}.",,Mark Tedin,260,,,,
Meekstone,628,normal,,{1},1,,,Artifact,,,Rare,Creatures with power 3 or greater don't untap during their controllers' untap steps.,,Quinton Hoover,261,,,,
Mox Emerald,629,normal,,{0},0,,['G'],Artifact,,,Rare,{T}: Add {G}.,,Dan Frazier,262,,,,
Mox Jet,630,normal,,{0},0,,['B'],Artifact,,,Rare,{T}: Add {B}.,,Dan Frazier,263,,,,
Mox Pearl,631,normal,,{0},0,,['W'],Artifact,,,Rare,{T}: Add {W}.,,Dan Frazier,264,,,,
Mox Ruby,632,normal,,{0},0,,['R'],Artifact,,,Rare,{T}: Add {R}.,,Dan Frazier,265,,,,
Mox Sapphire,633,normal,,{0},0,,['U'],Artifact,,,Rare,{T}: Add {U}.,,Dan Frazier,266,,,,
Nevinyrral's Disk,634,normal,,{4},4,,,Artifact,,,Rare,"Nevinyrral's Disk enters the battlefield tapped.
{1}, {T}: Destroy all artifacts, creatures, and enchantments.",,Mark Tedin,267,,,,
Obsianus Golem,635,normal,,{6},6,,,Artifact Creature — Golem,,['Golem'],Uncommon,,"""The foot stone is connected to the ankle stone, the ankle stone is connected to the leg stone...""
—Song of the Artificer",Jesper Myrfors,268,4,6,,
Rod of Ruin,636,normal,,{4},4,,,Artifact,,,Uncommon,"{3}, {T}: Rod of Ruin deals 1 damage to any target.",,Christopher Rush,269,,,,
Sol Ring,637,normal,,{1},1,,,Artifact,,,Uncommon,{T}: Add {C}{C}.,,Mark Tedin,270,,,,
Soul Net,638,normal,,{1},1,,,Artifact,,,Uncommon,"Whenever a creature dies, you may pay {1}. If you do, you gain 1 life.",,Dameon Willich,271,,,,
Sunglasses of Urza,639,normal,,{3},3,,,Artifact,,,Rare,You may spend white mana as though it were red mana.,,Dan Frazier,272,,,,
The Hive,640,normal,,{5},5,,,Artifact,,,Rare,"{5}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named Wasp. (It can't be blocked except by creatures with flying or reach.)",,Sandra Everingham,273,,,,
Throne of Bone,641,normal,,{1},1,,,Artifact,,,Uncommon,"Whenever a player casts a black spell, you may pay {1}. If you do, you gain 1 life.",,Anson Maddocks,274,,,,
Time Vault,642,normal,,{2},2,,,Artifact,,,Rare,"Time Vault enters the battlefield tapped.
Time Vault doesn't untap during your untap step.
If you would begin your turn while Time Vault is tapped, you may skip that turn instead. If you do, untap Time Vault.
{T}: Take an extra turn after this one.",,Mark Tedin,275,,,,
Winter Orb,643,normal,,{2},2,,,Artifact,,,Rare,"As long as Winter Orb is untapped, players can't untap more than one land during their untap steps.",,Mark Tedin,276,,,,
Wooden Sphere,644,normal,,{1},1,,,Artifact,,,Uncommon,"Whenever a player casts a green spell, you may pay {1}. If you do, you gain 1 life.",,Mark Tedin,277,,,,
Badlands,878,normal,,,0,,"['B', 'R']",Land — Swamp Mountain,,"['Swamp', 'Mountain']",Rare,({T}: Add {B} or {R}.),,Rob Alexander,278,,,,
Bayou,879,normal,,,0,,"['B', 'G']",Land — Swamp Forest,,"['Swamp', 'Forest']",Rare,({T}: Add {B} or {G}.),,Jesper Myrfors,279,,,,
Plateau,880,normal,,,0,,"['R', 'W']",Land — Mountain Plains,,"['Mountain', 'Plains']",Rare,({T}: Add {R} or {W}.),,Drew Tucker,280,,,,
Savannah,881,normal,,,0,,"['G', 'W']",Land — Forest Plains,,"['Forest', 'Plains']",Rare,({T}: Add {G} or {W}.),,Rob Alexander,281,,,,
Scrubland,882,normal,,,0,,"['B', 'W']",Land — Plains Swamp,,"['Plains', 'Swamp']",Rare,({T}: Add {W} or {B}.),,Jesper Myrfors,282,,,,
Taiga,883,normal,,,0,,"['G', 'R']",Land — Mountain Forest,,"['Mountain', 'Forest']",Rare,({T}: Add {R} or {G}.),,Rob Alexander,283,,,,
Tropical Island,884,normal,,,0,,"['G', 'U']",Land — Forest Island,,"['Forest', 'Island']",Rare,({T}: Add {G} or {U}.),,Jesper Myrfors,284,,,,
Tundra,885,normal,,,0,,"['U', 'W']",Land — Plains Island,,"['Plains', 'Island']",Rare,({T}: Add {W} or {U}.),,Jesper Myrfors,285,,,,
Underground Sea,886,normal,,,0,,"['B', 'U']",Land — Island Swamp,,"['Island', 'Swamp']",Rare,({T}: Add {U} or {B}.),,Rob Alexander,286,,,,
Volcanic Island,887,normal,,,0,,"['R', 'U']",Land — Island Mountain,,"['Island', 'Mountain']",Rare,({T}: Add {U} or {R}.),,Brian Snõddy,287,,,,
Plains,897,normal,,,0,,['W'],Basic Land — Plains,['Basic'],['Plains'],Common,({T}: Add {W}.),,Jesper Myrfors,288,,,,"['9b471ff9-4c7c-5caf-b5f9-d9c71e4548fb', '947b8212-ed9f-5c87-a497-393480f54377']"
Plains,898,normal,,,0,,['W'],Basic Land — Plains,['Basic'],['Plains'],Common,({T}: Add {W}.),,Jesper Myrfors,289,,,,"['65b4f3ec-a664-5369-9e14-1bae737edaf8', '947b8212-ed9f-5c87-a497-393480f54377']"
Plains,899,normal,,,0,,['W'],Basic Land — Plains,['Basic'],['Plains'],Common,({T}: Add {W}.),,Jesper Myrfors,290,,,,"['65b4f3ec-a664-5369-9e14-1bae737edaf8', '9b471ff9-4c7c-5caf-b5f9-d9c71e4548fb']"
Island,894,normal,,,0,,['U'],Basic Land — Island,['Basic'],['Island'],Common,({T}: Add {U}.),,Mark Poole,291,,,,"['c34f6e2e-4faf-5411-bce5-504b48702cd5', '27f027bf-8d01-5099-bf3a-96b77c0abce9']"
Island,895,normal,,,0,,['U'],Basic Land — Island,['Basic'],['Island'],Common,({T}: Add {U}.),,Mark Poole,292,,,,"['f7bc701c-a621-55fc-a733-26b666e4660f', '27f027bf-8d01-5099-bf3a-96b77c0abce9']"
Island,896,normal,,,0,,['U'],Basic Land — Island,['Basic'],['Island'],Common,({T}: Add {U}.),,Mark Poole,293,,,,"['f7bc701c-a621-55fc-a733-26b666e4660f', 'c34f6e2e-4faf-5411-bce5-504b48702cd5']"
Swamp,877,normal,,,0,,['B'],Basic Land — Swamp,['Basic'],['Swamp'],Common,({T}: Add {B}.),,Dan Frazier,294,,,,"['25d0427d-964e-51cf-8e37-9ab751c11da5', '0f099574-e9f7-503e-8719-91ef2da1f6c3']"
Swamp,876,normal,,,0,,['B'],Basic Land — Swamp,['Basic'],['Swamp'],Common,({T}: Add {B}.),,Dan Frazier,295,,,,"['8cc69220-a4cd-55c0-9f47-a1c4e2ad3354', '0f099574-e9f7-503e-8719-91ef2da1f6c3']"
Swamp,875,normal,,,0,,['B'],Basic Land — Swamp,['Basic'],['Swamp'],Common,({T}: Add {B}.),,Dan Frazier,296,,,,"['8cc69220-a4cd-55c0-9f47-a1c4e2ad3354', '25d0427d-964e-51cf-8e37-9ab751c11da5']"
Mountain,893,normal,,,0,,['R'],Basic Land — Mountain,['Basic'],['Mountain'],Common,({T}: Add {R}.),,Douglas Shuler,297,,,,"['a35ef09b-6d33-58ad-8ec2-683234159933', 'f7d6ea0b-e798-51ec-a373-ae7e90d873a9']"
Mountain,891,normal,,,0,,['R'],Basic Land — Mountain,['Basic'],['Mountain'],Common,({T}: Add {R}.),,Douglas Shuler,298,,,,"['1bd05d9e-bb72-5e70-a4b7-faa27d9b271d', 'f7d6ea0b-e798-51ec-a373-ae7e90d873a9']"
Mountain,892,normal,,,0,,['R'],Basic Land — Mountain,['Basic'],['Mountain'],Common,({T}: Add {R}.),,Douglas Shuler,299,,,,"['1bd05d9e-bb72-5e70-a4b7-faa27d9b271d', 'a35ef09b-6d33-58ad-8ec2-683234159933']"
Forest,888,normal,,,0,,['G'],Basic Land — Forest,['Basic'],['Forest'],Common,({T}: Add {G}.),,Christopher Rush,300,,,,"['9d8fa108-d33f-50f6-9759-0185f58420af', '7121f9c4-6b30-5d65-855b-3ecc73ced3ba']"
Forest,889,normal,,,0,,['G'],Basic Land — Forest,['Basic'],['Forest'],Common,({T}: Add {G}.),,Christopher Rush,301,,,,"['97885826-6405-5559-95f7-1ca278149ee4', '7121f9c4-6b30-5d65-855b-3ecc73ced3ba']"
Forest,890,normal,,,0,,['G'],Basic Land — Forest,['Basic'],['Forest'],Common,({T}: Add {G}.),,Christopher Rush,302,,,,"['97885826-6405-5559-95f7-1ca278149ee4', '9d8fa108-d33f-50f6-9759-0185f58420af']"
"Emrakul, the Aeons Torn",571334,normal,,{15},15,,,Legendary Creature — Eldrazi,['Legendary'],['Eldrazi'],Mythic,"This spell can't be countered.
When you cast this spell, take an extra turn after this one.
Flying, protection from spells that are one or more colors, annihilator 6
When Emrakul, the Aeons Torn is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.",,Mark Tedin,1,15,15,,"['f58d9aa7-9a43-5556-ae17-9636e6c7ef15', '1ec929f1-c791-5dfe-b3a3-1b29a165ea72', 'a9e37c90-1112-53ea-a442-27897a256f76']"
"Kozilek, Butcher of Truth",571335,normal,,{10},10,,,Legendary Creature — Eldrazi,['Legendary'],['Eldrazi'],Mythic,"When you cast this spell, draw four cards.
Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)
When Kozilek, Butcher of Truth is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.",,Michael Komarck,2,12,12,,"['c83d9fb9-922a-50cd-ac0b-59627916983d', 'bc7929be-9502-5450-92bf-f154bf326456', '6d4e18c2-1652-5291-99db-e0c592132359']"
"Ulamog, the Infinite Gyre",571336,normal,,{11},11,,,Legendary Creature — Eldrazi,['Legendary'],['Eldrazi'],Mythic,"When you cast this spell, destroy target permanent.
Indestructible
Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)
When Ulamog, the Infinite Gyre is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.",,Aleksi Briclot,3,10,10,,"['1458a72a-e137-5813-8a82-70cb454e3ffa', '1e2054ca-3739-5e40-be61-38d01bba937c', '9c11a355-fd21-5a81-a8a4-0ccb2f34aabe']"
Abzan Falconer,571337,normal,,{2}{W},3,['W'],['W'],Creature — Human Soldier,,"['Human', 'Soldier']",Uncommon,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has flying.",The fastest way across the dunes is above.,Steven Belledin,4,2,3,,
Ainok Bond-Kin,571338,normal,,{1}{W},2,['W'],['W'],Creature — Dog Soldier,,"['Dog', 'Soldier']",Common,"Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has first strike.","""Hold the line, for family and the fallen!""",Chris Rahn,5,2,1,,
Anointer of Valor,571339,normal,,{5}{W},6,['W'],['W'],Creature — Angel,,['Angel'],Common,"Flying
Whenever a creature attacks, you may pay {3}. When you do, put a +1/+1 counter on that creature.","Light streaked down from the heavens, and a voice whispered in the soldier's ear: ""You shall not fall today.""",Antonio José Manzanedo,6,3,5,,
Battlefield Promotion,571340,normal,,{1}{W},2,['W'],['W'],Instant,,,Common,Put a +1/+1 counter on target creature. That creature gains first strike until end of turn. You gain 2 life.,"""Welcome to the Legion. You saved a district—now let's go save the world.""",Scott Murphy,7,,,,
Divine Visitation,571341,normal,,{3}{W}{W},5,['W'],['W'],Enchantment,,,Mythic,"If one or more creature tokens would be created under your control, that many 4/4 white Angel creature tokens with flying and vigilance are created instead.",The angels appreciated the offer but politely declined to eat any birdseed.,Victor Adame Minguez,8,,,,['11f9b6b3-d54f-5b63-8b3b-eb0bae59608d']
Doomed Traveler,571342,normal,,{W},1,['W'],['W'],Creature — Human Soldier,,"['Human', 'Soldier']",Common,"When Doomed Traveler dies, create a 1/1 white Spirit creature token with flying.",He vowed he would never rest until he reached his destination. He doesn't know how right he was.,Lars Grant-West,9,1,1,,
Emiel the Blessed,571343,normal,,{2}{W}{W},4,['W'],"['G', 'W']",Legendary Creature — Unicorn,['Legendary'],['Unicorn'],Mythic,"{3}: Exile another target creature you control, then return it to the battlefield under its owner's control.
Whenever another creature enters the battlefield under your control, you may pay {G/W}. If you do, put a +1/+1 counter on it. If it's a Unicorn, put two +1/+1 counters on it instead. ({G/W} can be paid with either {G} or {W}.)",,Antonio José Manzanedo,10,4,4,,"['60b71ed3-0e96-57c4-a06a-d816e986cb83', 'f3fe7174-21b1-54e4-ba62-7315e7184662']"
Flickerwisp,571344,normal,,{1}{W}{W},3,['W'],['W'],Creature — Elemental,,['Elemental'],Uncommon,"Flying
When Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.",Its wings disturb more than air.,Jeremy Enecio,11,3,1,,['e129055d-563d-55e5-a33b-9f683dc37d84']
Gods Willing,571345,normal,,{W},1,['W'],['W'],Instant,,,Common,"Target creature you control gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)
Scry 1.","Honor the gods of Theros, and they will return the favor.",Mark Winters,12,,,,
Hyena Umbra,571346,normal,,{W},1,['W'],['W'],Enchantment — Aura,,['Aura'],Common,"Enchant creature
Enchanted creature gets +1/+1 and has first strike.
Totem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)",,Howard Lyon,13,,,,
Knightly Valor,571347,normal,,{4}{W},5,['W'],['W'],Enchantment — Aura,,['Aura'],Common,"Enchant creature
When Knightly Valor enters the battlefield, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.)
Enchanted creature gets +2/+2 and has vigilance.",,Matt Stewart,14,,,,
Last Breath,571348,normal,,{1}{W},2,['W'],['W'],Instant,,,Common,Exile target creature with power 2 or less. Its controller gains 4 life.,He gasped in wonder even as his body crumbled away.,Christina Davis,15,,,,
Leonin Arbiter,571349,normal,,{1}{W},2,['W'],['W'],Creature — Cat Cleric,,"['Cat', 'Cleric']",Rare,Players can't search libraries. Any player may pay {2} for that player to ignore this effect until end of turn.,"""Our people are torn by infighting. Until the two sides reconcile, our laws can carry no meaning.""",Shelly Wan,16,2,2,,['6c1ee181-714f-5420-89aa-4b26e0e7f7f0']
Mentor of the Meek,571350,normal,,{2}{W},3,['W'],['W'],Creature — Human Soldier,,"['Human', 'Soldier']",Uncommon,"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay {1}. If you do, draw a card.","""In these halls there is no pass or fail. Your true test comes with the first full moon.""",Jana Schirmer & Johannes Voss,17,2,2,,['757e6ffc-f1ec-5ad2-995d-fd09e392b906']
"Mikaeus, the Lunarch",571351,normal,,{X}{W},1,['W'],['W'],Legendary Creature — Human Cleric,['Legendary'],"['Human', 'Cleric']",Rare,"Mikaeus, the Lunarch enters the battlefield with X +1/+1 counters on it.
{T}: Put a +1/+1 counter on Mikaeus.
{T}, Remove a +1/+1 counter from Mikaeus: Put a +1/+1 counter on each other creature you control.",,Steven Belledin,18,0,0,,['fe5f6fe7-fc59-58fd-bfed-582bc82b3688']
Militia Bugler,571352,normal,,{2}{W},3,['W'],['W'],Creature — Human Soldier,,"['Human', 'Soldier']",Common,"Vigilance (Attacking doesn't cause this creature to tap.)
When Militia Bugler enters the battlefield, look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,David Gaillet,19,2,3,,
Momentary Blink,571353,normal,,{1}{W},2,['W'],"['U', 'W']",Instant,,,Common,"Exile target creature you control, then return it to the battlefield under its owner's control.
Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,Evan Shipard,20,,,,
Monastery Mentor,571354,normal,,{2}{W},3,['W'],['W'],Creature — Human Monk,,"['Human', 'Monk']",Mythic,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever you cast a noncreature spell, create a 1/1 white Monk creature token with prowess.","""Speak little. Do much.""",Magali Villeneuve,21,2,2,,['e7bf29be-534e-53f8-ad96-f04f8d61d0cc']
Myth Realized,571355,normal,,{W},1,['W'],['W'],Enchantment,,,Uncommon,"Whenever you cast a noncreature spell, put a lore counter on Myth Realized.
{2}{W}: Put a lore counter on Myth Realized.
{W}: Until end of turn, Myth Realized becomes a Monk Avatar creature in addition to its other types and gains ""This creature's power and toughness are each equal to the number of lore counters on it.""",,Jason Rainville,22,,,,
Path to Exile,571356,normal,,{W},1,['W'],['W'],Instant,,,Uncommon,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.","Her resentment vanished as strange, unknown lands opened up before her.",Raf Sarmento,23,,,,
Relief Captain,571357,normal,,{2}{W}{W},4,['W'],['W'],Creature — Kor Knight Ally,,"['Kor', 'Knight', 'Ally']",Common,"When Relief Captain enters the battlefield, support 3. (Put a +1/+1 counter on each of up to three other target creatures.)",Sometimes gestures of support are small. Sometimes not.,Anastasia Ovchinnikova,24,3,2,,
Restoration Angel,571358,normal,,{3}{W},4,['W'],['W'],Creature — Angel,,['Angel'],Rare,"Flash
Flying
When Restoration Angel enters the battlefield, you may exile target non-Angel creature you control, then return that card to the battlefield under your control.",,Jake Murray,25,3,4,,['9cd71216-938a-515a-b524-7d4eae442f7d']
Reveillark,571359,normal,,{4}{W},5,['W'],['W'],Creature — Elemental,,['Elemental'],Rare,"Flying
When Reveillark leaves the battlefield, return up to two target creature cards with power 2 or less from your graveyard to the battlefield.
Evoke {5}{W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",,Jim Murray,26,4,3,,['2c871ee7-04bf-53a2-b818-1776bf6bdb9d']
Scale Blessing,571360,normal,,{3}{W},4,['W'],['W'],Instant,,,Uncommon,"Bolster 1, then put a +1/+1 counter on each creature you control with a +1/+1 counter on it. (To bolster 1, choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)","""Your bravery honors us all.""
—Dromoka, translated from Draconic",Matt Stewart,27,,,,
Seeker of the Way,571361,normal,,{1}{W},2,['W'],['W'],Creature — Human Warrior,,"['Human', 'Warrior']",Common,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever you cast a noncreature spell, Seeker of the Way gains lifelink until end of turn.","""I don't know where my destiny lies, but I know it isn't here.""",Craig J Spearing,28,2,2,,['3ba26d10-99b3-53a3-a36b-ec14a4113a90']
Sensor Splicer,571362,normal,,{4}{W},5,['W'],['W'],Creature — Phyrexian Artificer,,"['Phyrexian', 'Artificer']",Common,"When Sensor Splicer enters the battlefield, create a 3/3 colorless Phyrexian Golem artifact creature token.
Golem creatures you control have vigilance.",With clarity of vision comes clarity of function.,Izzy,29,1,1,,
Settle Beyond Reality,571363,normal,,{4}{W},5,['W'],['W'],Sorcery,,,Common,"Choose one or both —
• Exile target creature you don't control.
• Exile target creature you control, then return it to the battlefield under its owner's control.","Two taken, two judged, one returned.",Anthony Palumbo,30,,,,
Smothering Tithe,571364,normal,,{3}{W},4,['W'],['W'],Enchantment,,,Rare,"Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")","""I await your donation.""
—Dasha, Orzhov priest",Mark Behm,31,,,,"['c599bdd0-d7fb-5996-8651-4362bc68242b', 'e171d406-a546-57a4-a8a5-1711aa6a8213']"
Teferi's Protection,571365,normal,,{2}{W},3,['W'],['W'],Instant,,,Rare,"Until your next turn, your life total can't change and you gain protection from everything. All permanents you control phase out. (While they're phased out, they're treated as though they don't exist. They phase in before you untap during your untap step.)
Exile Teferi's Protection.",,Chase Stone,32,,,,"['b3fe4fff-90b6-5631-b7db-66c921c33cfd', 'be0745d1-0a66-53e3-9ec2-19c321916c58']"
Wall of Omens,571366,normal,,{1}{W},2,['W'],['W'],Creature — Wall,,['Wall'],Uncommon,"Defender
When Wall of Omens enters the battlefield, draw a card.","""I search for a vision of Zendikar that does not include the Eldrazi.""
—Expedition journal entry",James Paick,33,0,4,,['9da8789e-40e1-5175-b66f-5278b4e2d840']
Weathered Wayfarer,571367,normal,,{W},1,['W'],['W'],Creature — Human Nomad Cleric,,"['Human', 'Nomad', 'Cleric']",Rare,"{W}, {T}: Search your library for a land card, reveal it, put it into your hand, then shuffle. Activate only if an opponent controls more lands than you.",,Greg Hildebrandt & Tim Hildebrandt,34,1,1,,"['2d1df6ec-03be-5af2-9fe2-8ac9b3168e56', '618274eb-37b7-5009-bc6a-5c60e8c4f233']"
